InputID,TargetID,Distance
C13,C30,10958.9439932671
C13,C31,12631.5070411933
C13,C32,13343.5375823904
C14,C01,12391.9993971822
C14,C02,11508.062813553
C14,C03,8025.14730393138
C14,C04,7306.71833277293
C14,C05,5562.77917180013
C14,C06,5565.38488050985
C14,C07,5055.41315256261
C14,C08,4526.91331772822
C14,C09,4151.79828104129
C14,C10,3858.24280168262
C14,C11,763.464424834185
C14,C12,463.352826068537
C14,C13,364.384634403605
C14,C15,358.258670614163
C14,C17,670.293143755377
C14,C18,792.800484443967
C14,C19,984.733497937806
C14,C20,288.842770629932
C14,C22,3420.42329021838
C14,C23,3600.49322068968
C14,C24,4406.33852561216
C14,C25,8304.34162946836
C14,C26,9739.19477143903
C14,C27,10170.7789399805
C14,C28,10539.6762591522
C14,C29,10543.1287529259
C14,C30,10596.922009768
C14,C31,12267.3582969309
C14,C32,12979.8570849001
C15,C01,12726.0399752851
C15,C02,11842.7108415624
C15,C03,8343.12355452343
C15,C04,7626.30742784846
C15,C05,5895.60802445473
C15,C06,5885.56676544184
C15,C07,5368.59112315719
C15,C08,4840.65983604483
C15,C09,4461.52609371395
C15,C10,4169.06354108256
C15,C11,1002.21359662632
C15,C12,628.431422293571
C15,C13,305.353834378111
C15,C14,358.258670614151
C15,C17,313.925809046269
C15,C18,460.076338340574
C15,C19,634.78180501588
C15,C20,364.918112418896
C15,C22,3585.09794239988
C15,C23,3724.13719126488
C15,C24,4579.30725881392
C15,C25,8476.32222863435
C15,C26,9924.62556269326
C15,C27,10353.7029221401
C15,C28,10726.3400636534
C15,C29,10737.4082606506
C15,C30,10798.1670474652
C15,C31,12510.4117968184
C15,C32,13229.5942170842
C17,C01,13000.1559484288
C17,C02,12117.6518578339
C17,C03,8600.70008192553
C17,C04,7885.91460952321
C17,C05,6170.30330069898
C17,C06,6146.91403790715
C17,C07,5623.33176087671
C17,C08,5096.61290829822
C17,C09,4714.10688329623
C17,C10,4423.221555627
C17,C11,1232.38216570376
C17,C12,847.210140875898
C17,C13,492.426553573115
C17,C14,670.293143755345
C17,C15,313.925809046231
C17,C18,284.954840213148
C17,C19,370.925488857061
C17,C20,641.198443063394
C17,C22,3788.71873741727
C17,C23,3896.9891148045
C17,C24,4784.99322498432
C17,C25,8674.69313780341
C17,C26,10132.037068647
C17,C27,10558.9548682592
C17,C28,10934.2060824335
C17,C29,10951.0004646351
C17,C30,11016.9349439046
C17,C31,12759.0666234769
C17,C32,13482.8211134011
C18,C01,13181.7548778741
C18,C02,12298.1194202003
C18,C03,8802.91494726985
C18,C04,8085.90945503285
C18,C05,6351.66671437977
C18,C06,6345.03131976248
C18,C07,5828.62407583854
C18,C08,5300.6578901407
C18,C09,4921.6021887196
C18,C10,4629.13177212164
C18,C11,1456.38622366967
C18,C12,1075.7035621799
C18,C13,727.29094794712
C18,C14,792.800484444048
C18,C15,460.076338340693
C18,C17,284.954840212797
C18,C19,215.923576528623
C18,C20,652.729381740757
C18,C22,3622.50884315846
C18,C23,3703.35097168065
C18,C24,4617.67059887794
C18,C25,8495.41214237383
C18,C26,9960.33610200356
C18,C27,10384.9763136287
C18,C28,10762.5555946343
C18,C29,10784.980607401
C18,C30,10856.1806209347
C18,C31,12632.6580042927
C18,C32,13362.3645168922
C19,C01,13358.0906574234
C19,C02,12475.0517439822
C19,C03,8966.2339026447
C19,C04,8250.69343165111
C19,C05,6527.63719318611
C19,C06,6510.89989610418
C19,C07,5989.54662764542
C19,C08,5462.38081408982
C19,C09,5080.82477798075
C19,C10,4789.43096909886
C19,C11,1601.39821596815
C19,C12,1216.40244045856
C19,C13,861.529304212655
C19,C14,984.733497937759
C19,C15,634.781805015931
C19,C17,370.925488857042
C19,C18,215.923576528608
C19,C20,865.971133723582
C19,C22,3794.04796889827
C19,C23,3857.0925193093
C19,C24,4787.19717282053
C19,C25,8655.09639524527
C19,C26,10124.4023006027
C19,C27,10547.5167402562
C19,C28,10926.4626694671
C19,C29,10952.2818863559
C19,C30,11026.5027360942
C19,C31,12819.5345311515
C19,C32,13551.6111866106
C20,C01,12593.6800443749
C20,C02,11708.971974947
C20,C03,8249.57033607362
C20,C04,7529.70327617763
C20,C05,5769.65534861728
C20,C06,5788.99254837646
C20,C07,5287.04821111991
C20,C08,4758.63295362086
C20,C09,4387.95948615849
C20,C10,4093.87443239172
C20,C11,1049.06329701528
C20,C12,747.383604695533
C20,C13,560.285344507135
C20,C14,288.842770630276
C20,C15,364.918112418841
C20,C17,641.198443063568
C20,C18,652.729381740767
C20,C19,865.971133723612
C20,C22,3230.56123204808
C20,C23,3383.84180235356
C20,C24,4223.15752168722
C20,C25,8121.43173225108
C20,C26,9566.50131044879
C20,C27,9996.20454291619
C20,C28,10367.9968562242
C20,C29,10377.4356025251
C20,C30,10436.8901024071
C20,C31,12145.5027518734
C20,C32,12864.8662036506
C22,C01,12667.3684069491
C22,C02,11803.9480536664
C22,C03,8902.13568230023
C22,C04,8215.7100362142
C22,C05,6410.16614586932
C22,C06,6670.36060124148
C22,C07,6359.83787628606
C22,C08,5916.51713248906
C22,C09,5677.20628771025
C22,C10,5433.38751279987
C22,C11,3887.91379196197
C22,C12,3814.50187528557
C22,C13,3773.13826140319
C22,C14,3420.42329021855
C22,C15,3585.0979423994
C22,C17,3788.7187374172
C22,C18,3622.5088431586
C22,C19,3794.04796889804
C22,C20,3230.5612320479
C22,C23,475.766469253548
C22,C24,996.30262667117
C22,C25,4891.25556872333
C22,C26,6343.37451112968
C22,C27,6770.80060023834
C22,C28,7145.51812472356
C22,C29,7163.57102431252
C22,C30,7233.68985228064
C22,C31,9060.86340213846
C22,C32,9806.61015076154
C23,C01,13140.4509601844
C23,C02,12277.7729254435
C23,C03,9374.29562632874
C23,C04,8686.25253856518
C23,C05,6877.36837509863
C23,C06,7131.06923257356
C23,C07,6811.2499677214
C23,C08,6360.81249093804
C23,C09,6112.28928786241
C23,C10,5862.9489256248
C23,C11,4133.3037586351
C23,C12,4020.39888069624
C23,C13,3939.65016520266
C23,C14,3600.49322068951
C23,C15,3724.13719126493
C23,C17,3896.98911480408
C23,C18,3703.35097168105
C23,C19,3857.0925193097
C23,C20,3383.8418023536
C23,C22,475.766469253556
C23,C24,1033.23396567112
C23,C25,4800.84834705699
C23,C26,6277.70498955178
C23,C27,6697.07830575204
C23,C28,7078.76223579397
C23,C29,7114.42411206857
C23,C30,7200.58954894644
C23,C31,9116.77271910908
C23,C32,9874.16491657841
C24,C01,12758.1532683007
C24,C02,11913.3955457614
C24,C03,9233.59188019989
C24,C04,8574.97808461232
C24,C05,6822.76818427919
C24,C06,7136.03990175453
C24,C07,6887.79020900665
C24,C08,6485.50904456854
C24,C09,6288.93824062618
C24,C10,6069.04416445829
C24,C11,4841.2641644618
C24,C12,4789.65457525387
C24,C13,4761.86415872634
C24,C14,4406.33852561247
C24,C15,4579.30725881377
C24,C17,4784.99322498465
C24,C18,4617.6705988779
C24,C19,4787.19717282065
C24,C20,4223.15752168701
C24,C22,996.302626670995
C24,C23,1033.23396567099
C24,C25,3898.83221591154
C24,C26,5347.21074661417
C24,C27,5775.02373492744
C24,C28,6149.31994601818
C24,C29,6167.59644503468
C24,C30,6239.32387977103
C24,C31,8099.87779327179
C24,C32,8853.05240308807
C25,C01,14162.1107956902
C25,C02,13422.7798647707
C25,C03,11589.1453680985
C25,C04,11050.160195993
C25,C05,9565.67762139573
C25,C06,9985.63560011402
C25,C07,9902.37753356915
C25,C08,9618.44859044153
C25,C09,9526.0761122216
C25,C10,9368.52188800237
C25,C11,8710.97410380469
C25,C12,8680.72633923942
C25,C13,8660.56952073501
C25,C14,8304.34162946849
C25,C15,8476.32222863437
C25,C17,8674.69313780357
C25,C18,8495.41214237401
C25,C19,8655.09639524541
C25,C20,8121.43173225132
C25,C22,4891.25556872292
C25,C23,4800.84834705689
C25,C24,3898.83221591165
C25,C26,1494.50703655119
C25,C27,1900.39153738076
C25,C28,2287.12197666801
C25,C29,2352.00566695104
C25,C30,2479.3404875005
C25,C31,4711.15868918594
C25,C32,5498.36901997533
C26,C01,14544.2838691257
C26,C02,13858.8551876858
C26,C03,12373.1963324093
C26,C04,11888.6588425535
C26,C05,10532.6236075961
C26,C06,10978.4776731453
C26,C07,10953.619267896
C26,C08,10716.105941058
C26,C09,10661.4203799858
C26,C10,10528.3310307602
C26,C11,10112.3211809408
C26,C12,10102.1997048358
