fid,InputID,TargetID,Distance
"479",M19,M11,875.521696515285
"480",M19,M12,706.83576918123
"481",M19,M13,423.118084842065
"482",M19,M14,486.099448722944
"483",M19,M15,354.322333129091
"484",M19,M16,561.519814510313
"485",M19,M17,502.99088122923
"486",M19,M18,246.399256840388
"487",M19,M20,374.527736254689
"488",M19,M21,751.357061820394
"489",M19,M22,1722.07467141424
"490",M19,M23,1188.97032310543
"491",M19,M24,1391.29512191477
"492",M19,M25,2035.7938134787
"493",M19,M26,2597.27719550906
"494",M19,M27,3128.10667733588
"495",M20,M01,6713.1853694534
"496",M20,M02,4514.28794943406
"497",M20,M03,2769.97573885799
"498",M20,M04,1875.3849591053
"499",M20,M05,1548.42003393733
"500",M20,M06,1212.49331725806
"501",M20,M07,857.938100585927
"502",M20,M08,718.059334919761
"503",M20,M09,943.226862883432
"504",M20,M10,820.276826381506
"505",M20,M11,808.13165761529
"506",M20,M12,743.692658791102
"507",M20,M13,512.288173361544
"508",M20,M14,726.352920028997
"509",M20,M15,645.294819268656
"510",M20,M16,875.127629639554
"511",M20,M17,864.369682875823
"512",M20,M18,616.664894255651
"513",M20,M19,374.527736254443
"514",M20,M21,382.973670369469
"515",M20,M22,1349.74963847205
"516",M20,M23,867.720690677797
"517",M20,M24,1268.75775499816
"518",M20,M25,2003.58712991807
"519",M20,M26,2654.70034224177
"520",M20,M27,3253.72430029665
"521",M21,M01,6333.15032865027
"522",M21,M02,4138.4927431985
"523",M21,M03,2408.53020044777
"524",M21,M04,1517.44825763481
"525",M21,M05,1178.87466661416
"526",M21,M06,841.35151844969
"527",M21,M07,492.053616950282
"528",M21,M08,416.845809219949
"529",M21,M09,692.816837669667
"530",M21,M10,742.903192714815
"531",M21,M11,818.7401936049
"532",M21,M12,869.924574706423
"533",M21,M13,741.648103953334
"534",M21,M14,1007.89944921043
"535",M21,M15,966.088240819833
"536",M21,M16,1193.27485108449
"537",M21,M17,1219.91571951493
"538",M21,M18,985.21851962076
"539",M21,M19,751.357061820175
"540",M21,M20,382.973670369562
"541",M21,M22,1003.72623584579
"542",M21,M23,696.441898517154
"543",M21,M24,1346.48354770279
"544",M21,M25,2134.96729656449
"545",M21,M26,2851.53651504719
"546",M21,M27,3499.29602915787
"547",M22,M01,5564.79476327097
"548",M22,M02,3449.04531600237
"549",M22,M03,1931.65599034951
"550",M22,M04,1215.01516176544
"551",M22,M05,888.624978653786
"552",M22,M06,749.508127022764
"553",M22,M07,805.850201231768
"554",M22,M08,1032.10858106451
"555",M22,M09,1219.67523492558
"556",M22,M10,1535.07428150979
"557",M22,M11,1684.44762323825
"558",M22,M12,1816.06076008936
"559",M22,M13,1738.32364671977
"560",M22,M14,2009.7490447456
"561",M22,M15,1968.91954656138
"562",M22,M16,2196.83482590468
"563",M22,M17,2212.49471522463
"564",M22,M18,1966.25291509529
"565",M22,M19,1722.07467141435
"566",M22,M20,1349.74963847201
"567",M22,M21,1003.72623584575
"568",M22,M23,735.945003455744
"569",M22,M24,1535.10946784818
"570",M22,M25,2282.77156933817
"571",M22,M26,3097.59068030759
"572",M22,M27,3845.36658571089
"573",M23,M01,6300.69672817936
"574",M23,M02,4178.35160541736
"575",M23,M03,2594.38522903569
"576",M23,M04,1777.49330179352
"577",M23,M05,1414.05131697529
"578",M23,M06,1129.60754899478
"579",M23,M07,918.127853069002
"580",M23,M08,1012.71578883526
"581",M23,M09,1293.26401819788
"582",M23,M10,1433.26002185657
"583",M23,M11,1514.9490805182
"584",M23,M12,1546.06206261916
"585",M23,M13,1364.94572683334
"586",M23,M14,1594.04308443087
"587",M23,M15,1507.4718726084
"588",M23,M16,1734.63364980666
"589",M23,M17,1690.12323681899
"590",M23,M18,1430.7573928273
"591",M23,M19,1188.97032310549
"592",M23,M20,867.720690677815
"593",M23,M21,696.441898517227
"594",M23,M22,735.945003455739
"595",M23,M24,851.246871561017
"596",M23,M25,1644.16275906146
"597",M23,M26,2434.99609698036
"598",M23,M27,3157.103821253
"599",M24,M01,7050.09770473641
"600",M24,M02,4975.36345900658
"601",M24,M03,3440.08664843022
"602",M24,M04,2628.30426324729
"603",M24,M05,2264.47924961052
"604",M24,M06,1971.20606205801
"605",M24,M07,1718.64790722206
"606",M24,M08,1747.94060801633
"607",M24,M09,2032.50932304197
"608",M24,M10,2052.86259372545
"609",M24,M11,2071.16378555201
"610",M24,M12,2006.56107524519
"611",M24,M13,1748.17822321601
