InputID,TargetID,Distance
B23,B14,3173.21022136749
B23,B15,3158.67792998674
B23,B16,2979.42393484596
B23,B17,2932.79532335735
B23,B18,2934.98863708005
B23,B19,2850.78584176822
B23,B20,2573.2154481833
B23,B21,2267.4463220326
B23,B22,2049.21565507901
B23,B24,677.890998241014
B23,B25,4335.19875194427
B24,B02,9457.69385929883
B24,B03,5788.76547077378
B24,B04,5338.30792018111
B24,B05,5459.54104068807
B24,B06,5356.33920999749
B24,B07,5128.65990396574
B24,B08,4917.40306873226
B24,B09,4669.8023162384
B24,B10,4319.43847985028
B24,B11,4004.7376741137
B24,B12,3886.77569568366
B24,B13,3776.24621701877
B24,B14,3772.1106643084
B24,B15,3701.80095489494
B24,B16,3560.14992725866
B24,B17,3533.0211724017
B24,B18,3482.8274241414
B24,B19,3366.07390509258
B24,B20,3081.76069780191
B24,B21,2802.00150262992
B24,B22,2604.28859864871
B24,B23,677.890998241155
B24,B25,3661.03077569307
B25,B02,12851.6907200466
B25,B03,9008.80268633741
B25,B04,8701.4052466328
B25,B05,8876.69164981667
B25,B06,8803.73301615656
B25,B07,8527.08378044938
B25,B08,8327.6639050679
B25,B09,8048.37959528463
B25,B10,7700.48728137003
B25,B11,7420.59551919029
B25,B12,7352.99273785307
B25,B13,7292.87558872982
B25,B14,7332.51305249874
B25,B15,7160.14300317115
B25,B16,7093.58476005255
B25,B17,7100.72079291878
B25,B18,6959.21731820311
B25,B19,6786.86990128962
B25,B20,6507.22127050599
B25,B21,6288.7244882468
B25,B22,6132.88054852815
B25,B23,4335.19875194435
B25,B24,3661.03077569299
