station;station_old;Zone;Site;Latitude;Longitude;Bottom depth (m);Buoy depth (m);Receiver ID;Date in;Date out;Detections;Status;Observations
C12;C12;Cap de Creus;Encalladora;42,32479;3,32039;;;128603;2021-09-15;;;active;
C13;C13;Cap de Creus;Encalladora;42,32333;3,32422;;bottom;136601;2020-07-24;2021-09-15;5910;downloaded;
C13;C13;Cap de Creus;Encalladora;42,32333;3,32422;;bottom;136599;2021-09-15;;;active;
C14;C14;Cap de Creus;Encalladora;42,32071;3,32156;17;bottom;136597;2020-07-27;2021-09-15;4265;downloaded;
C14;C14;Cap de Creus;Encalladora;42,32071;3,32156;17;bottom;136597;2021-09-15;;;active;
C15;C15;Cap de Creus;Encalladora;42,32088;3,33259;20;bottom;136602;2020-07-21;2021-09-16;24316;downloaded;La batería estaba agotada
C15;C15;Cap de Creus;Encalladora;42,32088;3,33259;20;bottom;136607;2021-09-16;;;active;
C16;C16;Cap de Creus;Massa d'Or;42,32043;3,32865;;;???;;;;lost;No trobat (el receptor estava instalat)
C17;C17;Cap de Creus;Massa d'Or;42,32145;3,32963;28;bottom;136609;2020-07-21;2021-09-17;80535;downloaded;
C17;C17;Cap de Creus;Massa d'Or;42,32145;3,32963;28;bottom;136601;2021-09-17;;;active;
C18;C18;Cap de Creus;Massa d'Or;42,31907;3,33092;;;136768;2020-07-22;2021-09-17;137232;downloaded;
C18;C18;Cap de Creus;Massa d'Or;42,31907;3,33092;;;136598;2021-09-17;;;active;
C19;C19;Cap de Creus;Massa d'Or;42,31965;3,33342;33;bottom;136604;2020-07-22;2021-09-17;12072;downloaded;
C19;C19;Cap de Creus;Massa d'Or;42,31965;3,33342;33;bottom;108864;2021-09-17;;;active;
C20;C20;Cap de Creus;Cap de Creus;42,31836;3,32306;;bottom;136760;2020-07-22;2021-09-16;31275;downloaded;
C20;C20;Cap de Creus;Cap de Creus;42,31836;3,32306;;bottom;136744;2021-09-16;;;active;
C21;C21;Cap de Creus;Cap de Creus;42,31473;3,31926;;bottom;;;;;lost;No trobat. Xarxa abandonada. El receptor estava instalat.
C22;C22;Cap de Creus;Messina;42,29210;3,30622;;bottom;136600;2020-07-23;2021-09-16;333;downloaded;
C22;C22;Cap de Creus;Messina;42,29210;3,30622;;bottom;105278;2021-09-16;;;active;
C23;C23;Cap de Creus;Messina;42,28933;3,31062;;bottom;136608;2020-07-23;2021-09-16;330;downloaded;
C23;C23;Cap de Creus;Messina;42,28933;3,31062;;bottom;136597;2021-09-16;;;active;
C24;C24;Cap de Creus;Caials;42,28442;3,29998;20;bottom;136757;2020-07-30;2021-09-16;78;downloaded;Hilo de pesca
C24;C24;Cap de Creus;Caials;42,28442;3,29998;20;bottom;136758;2021-09-16;;;active;
C25;C25;Cap de Creus;Punta Figuera;42,25272;3,27969;22;bottom;136738;2020-07-30;2021-09-13;371;downloaded;
C25;C25;Cap de Creus;Punta Figuera;42,25272;3,27969;22;bottom;136762;2021-09-13;;;active;
C26;C26;Cap de Creus;Cap Norfeu;42,24275;3,26753;25;bottom;136744;2020-07-30;2021-09-13;841;downloaded;
C26;C26;Cap de Creus;Cap Norfeu;42,24275;3,26753;25;bottom;112364;2021-09-13;;;active;
C27;C27;Cap de Creus;Cap Norfeu;42,23898;3,26597;33;bottom;136758;2020-07-30;2021-09-13;1556;downloaded;
C27;C27;Cap de Creus;Cap Norfeu;42,23898;3,26597;33;bottom;108861;2021-09-13;;;active;
C28;C28;Cap de Creus;El Gat;42,23657;3,26250;32;bottom;100614;2020-07-28;2021-09-13;4444;downloaded;
C28;C28;Cap de Creus;El Gat;42,23657;3,26250;32;bottom;125460;2021-09-13;;;active;
C29;C29;Cap de Creus;El Gat;42,23768;3,25963;25;bottom;136607;2020-07-28;2021-09-13;4642;downloaded;desplaçat uns metres cap avall
C29;C29;Cap de Creus;El Gat;42,23768;3,25963;25;bottom;108862;2021-09-13;;;active;
C30;C30;Cap de Creus;El Gat;42,23837;3,25668;25;bottom;136605;2020-07-28;2021-09-13;1252;downloaded;
C30;C30;Cap de Creus;El Gat;42,23837;3,25668;25;bottom;110274;2021-09-13;;;active;
C31;C31;Cap de Creus;Punta Falconera;42,23495;3,22786;25;bottom;136596;2020-07-28;2021-09-13;200;downloaded;
C31;C31;Cap de Creus;Punta Falconera;42,23495;3,22786;25;bottom;125480;2021-09-13;;;active;
C32;C32;Cap de Creus;Punta Falconera;42,23195;3,21922;24;bottom;136603;2020-07-28;2021-09-13;365;downloaded;
C32;C32;Cap de Creus;Punta Falconera;42,23195;3,21922;24;bottom;105297;2021-09-13;;;active;
G01;R15;Badia de Roses;Badia de Roses;42,24412;3,13972;10;bottom;136771;2020-08-05;2021-09-01;6830;downloaded;
G01;R15;Badia de Roses;Badia de Roses;42,24412;3,13972;10;bottom;136759;2021-09-01;;;active;
G02;R14;Badia de Roses;Badia de Roses;42,23412;3,13269;10,5;bottom;136743;2020-08-05;2021-09-01;11485;downloaded;
G02;R14;Badia de Roses;Badia de Roses;42,23412;3,13269;10,5;bottom;136748;2021-09-01;;;active;
G03;R13;Badia de Roses;Badia de Roses;42,22671;3,12848;10,5;bottom;136763;2020-08-05;2021-09-01;9263;downloaded;
G03;R13;Badia de Roses;Badia de Roses;42,22671;3,12848;10,5;bottom;136765;2021-09-01;;;active;
G04;R12;Badia de Roses;Badia de Roses;42,22186;3,12547;11;bottom;136761;2020-08-05;2021-09-01;2493;downloaded;
G04;R12;Badia de Roses;Badia de Roses;42,22186;3,12547;11;bottom;128603;2021-09-01;;;active;
G05;R11;Badia de Roses;Badia de Roses;42,20916;3,12336;11;bottom;136766;2020-08-05;2021-09-01;12275;downloaded;
G05;R11;Badia de Roses;Badia de Roses;42,20916;3,12336;11;bottom;136753;2021-09-01;;;active;
G06;R10;Badia de Roses;Badia de Roses;42,19976;3,12217;11;bottom;136742;2020-08-05;2021-08-27;28687;downloaded;
G06;R10;Badia de Roses;Badia de Roses;42,19976;3,12217;11;bottom;136770;2021-08-27;;;active;
G07;R9;Badia de Roses;Badia de Roses;42,19035;3,12283;12;bottom;136751;2020-08-05;2021-08-27;38010;downloaded;
G07;R9;Badia de Roses;Badia de Roses;42,19035;3,12283;12;bottom;108865;2021-08-27;;;active;
G08;R8;Badia de Roses;Badia de Roses;42,18315;3,12336;11,5;bottom;136746;2020-08-05;2021-08-27;57235;downloaded;
G08;R8;Badia de Roses;Badia de Roses;42,18315;3,12336;11,5;bottom;125488;2021-08-27;;;active;
G09;R7;Badia de Roses;Badia de Roses;42,17577;3,12438;12;bottom;136740;2020-08-05;2021-08-27;127458;downloaded;
G09;R7;Badia de Roses;Badia de Roses;42,17577;3,12438;12;bottom;136749;2021-08-27;;;active;
G10;R6;Badia de Roses;Badia de Roses;42,16848;3,12518;11,5;bottom;136769;2020-08-05;2021-08-27;59955;downloaded;
G10;R6;Badia de Roses;Badia de Roses;42,16848;3,12518;11,5;bottom;136739;2021-08-27;;;active;
