date,geartype,hours,lat,lon,vesselIDs
2013,trawlers,200.9863888888889,55.1,-5.1,15
2013,trawlers,145.00027777777774,55.4,-5.5,12
2013,trawlers,694.0091666666668,55.4,-5.2,36
2013,trawlers,396.28111111111104,55.4,-4.9,27
2013,trawlers,399.30916666666667,55.2,-5.0,28
2013,set_gillnets,0.8697222222222222,55.9,-5.0,1
2013,trawlers,101.08833333333334,55.4,-4.8,19
2013,trawlers,327.11583333333334,55.3,-4.9,23
2013,trawlers,174.52944444444444,55.0,-5.2,25
2013,trawlers,8.161666666666667,55.8,-5.2,3
2013,trawlers,13.84138888888889,55.6,-5.4,2
2013,trawlers,482.2997222222223,55.6,-4.9,13
2013,trawlers,689.4158333333331,55.7,-5.0,9
2013,trawlers,291.30388888888893,55.5,-4.8,22
2013,trawlers,219.71999999999997,55.5,-5.4,9
2013,dredge_fishing,3.9652777777777777,55.1,-5.2,1
2013,trawlers,771.8066666666666,55.8,-4.9,2
2013,trawlers,306.1211111111112,55.6,-4.8,11
2013,trawlers,42.203888888888876,55.2,-4.9,7
2013,trawlers,1067.220833333333,55.4,-5.4,36
2013,trawlers,0.22305555555555556,55.2,-5.5,1
2013,trawlers,196.13333333333335,55.7,-5.1,6
2013,trawlers,4.880000000000001,55.2,-5.4,2
2013,trawlers,579.1411111111111,55.5,-5.0,11
2013,trawlers,14.408055555555556,55.4,-4.7,1
2013,trawlers,20.564166666666665,55.1,-5.0,5
2013,trawlers,63.08555555555555,55.5,-4.7,7
2013,trawlers,46.03805555555556,55.7,-5.2,6
2013,trawlers,59.86833333333334,55.5,-5.5,5
2013,set_gillnets,79.29527777777778,56.0,-4.8,1
2013,set_gillnets,11.464166666666667,55.9,-4.7,1
2013,trawlers,1.868611111111111,55.9,-5.0,1
2013,trawlers,4.683055555555556,55.3,-5.5,2
2013,trawlers,3.608611111111111,55.7,-4.8,1
2013,fishing,51.430277777777775,55.1,-5.1,1
2013,fishing,33.29472222222223,55.0,-5.1,1
2013,trawlers,1.55,55.6,-5.2,1
2013,dredge_fishing,0.2225,55.0,-5.2,1
2013,fishing,251.64333333333332,56.0,-4.9,1
2013,fishing,73.98527777777777,56.1,-4.9,1
2013,fishing,273.7705555555556,55.9,-4.9,1
2013,set_gillnets,39.81388888888889,55.8,-4.9,1
2013,trawlers,24.531666666666666,55.0,-5.3,5
2013,set_gillnets,3.549722222222223,55.8,-5.0,1
2013,fishing,1.0827777777777778,55.8,-4.9,1
2013,dredge_fishing,6.731388888888889,55.1,-5.1,2
2013,dredge_fishing,63.057222222222215,55.0,-5.1,1
2013,set_gillnets,46.70666666666666,56.0,-4.9,1
2013,fishing,131.05416666666667,55.9,-5.0,1
2013,set_gillnets,327.9388888888888,55.9,-4.9,1
2013,trawlers,5.696111111111111,56.0,-5.4,1
2013,fishing,84.12722222222223,55.8,-5.0,1
2013,fishing,6.858888888888888,55.8,-5.1,1
2014,trawlers,2207.565,55.3,-5.0,59
2014,trawlers,1239.616944444445,55.4,-5.2,51
2014,trawlers,2891.8713888888883,55.3,-5.1,66
2014,trawlers,2387.0930555555556,55.2,-5.2,56
2014,trawlers,971.4772222222222,55.8,-4.9,6
2014,trawlers,1533.13,55.4,-5.3,56
2014,trawlers,595.7855555555557,55.5,-4.9,48
2014,trawlers,648.9930555555555,55.3,-5.4,43
2014,trawlers,951.9752777777779,55.1,-5.3,36
2014,trawlers,614.1230555555557,55.2,-5.0,45
2014,trawlers,1027.0997222222222,55.3,-4.9,49
2014,trawlers,743.5691666666668,55.4,-5.1,52
2014,trawlers,11.739444444444446,55.0,-5.3,9
2014,trawlers,1606.3033333333326,55.2,-5.1,58
2014,trawlers,2559.324722222223,55.3,-5.3,51
2014,trawlers,255.13361111111112,55.0,-5.2,31
2014,fishing,598.8255555555555,55.9,-4.9,1
2014,trawlers,273.0697222222222,55.5,-5.5,12
2014,trawlers,1733.0199999999995,55.1,-5.2,55
2014,trawlers,2460.025555555556,55.4,-5.4,56
2014,trawlers,371.19944444444445,55.6,-5.1,15
2014,trawlers,1069.9847222222218,55.5,-5.4,24
2014,trawlers,355.4275,55.7,-5.1,16
2014,trawlers,1065.6444444444442,55.4,-4.9,54
2014,trawlers,543.1597222222221,55.5,-4.8,49
2014,trawlers,3006.2888888888883,55.3,-5.2,60
2014,trawlers,30.129999999999995,55.3,-5.5,8
2014,trawlers,1047.0627777777781,55.5,-5.0,35
2014,trawlers,1154.2672222222222,55.2,-5.3,39
2014,trawlers,161.91944444444445,55.6,-5.4,12
2014,fishing,9.192222222222222,55.1,-5.1,1
2014,trawlers,251.1725,55.6,-4.8,24
2014,trawlers,147.50833333333335,55.2,-4.9,16
2014,trawlers,676.5647222222224,55.6,-4.9,23
2014,trawlers,599.6888888888888,55.9,-4.9,4
2014,trawlers,439.23972222222227,55.4,-5.5,22
2014,trawlers,201.51472222222225,55.7,-5.2,15
2014,trawlers,697.9913888888889,55.6,-5.0,21
2014,trawlers,17.856944444444444,55.1,-5.0,4
2014,trawlers,219.11555555555555,55.7,-4.9,19
2014,trawlers,27.15583333333333,55.6,-5.5,6
2014,trawlers,421.3825,55.4,-4.8,49
2014,trawlers,8.4875,56.0,-5.4,3
2014,trawlers,77.35416666666667,55.8,-5.2,7
2014,trawlers,42.980000000000004,55.5,-4.7,14
2014,other_purse_seines,0.4222222222222222,55.9,-5.3,1
2014,trawlers,11.370833333333332,55.2,-5.4,7
2014,trawlers,21.28611111111111,55.6,-4.7,7
2014,trawlers,1691.8177777777778,55.4,-5.0,67
2014,trawlers,587.5236111111111,55.7,-5.0,21
2014,trawlers,36.77,55.7,-5.4,8
2014,trawlers,267.69694444444445,55.1,-5.1,21
2014,trawlers,1.1858333333333333,55.1,-5.4,2
2014,trawlers,363.7169444444445,55.8,-5.0,5
2014,set_gillnets,25.76805555555556,55.9,-4.9,1
2014,fishing,3.081666666666667,55.0,-5.2,1
2014,trawlers,94.65888888888888,55.5,-5.1,5
2014,trawlers,22.86194444444444,55.9,-5.0,2
2014,fishing,39.61722222222222,56.1,-4.9,1
2014,trawlers,38.23555555555556,55.8,-5.3,7
2014,fishing,51.64,55.9,-5.1,1
2014,fishing,0.586111111111111,55.3,-5.5,1
2014,trawlers,18.64777777777778,55.0,-5.1,2
2014,trawlers,2.5669444444444443,55.4,-5.6,1
2014,fishing,1.6155555555555556,55.0,-5.1,1
2014,trawlers,37.53888888888889,55.7,-5.3,8
2014,trawlers,18.927500000000002,55.9,-5.4,3
2014,set_gillnets,17.552777777777777,56.0,-4.8,1
2014,fishing,10.350555555555555,55.5,-5.1,1
2014,fishing,2.674444444444444,55.1,-5.0,1
2014,trawlers,17.451666666666664,55.5,-5.3,2
