hours,percentage_hours,geometry
16994.0,0.032877319981039946,"POLYGON ((-4.9 55.5, -4.800000000000001 55.5, -4.800000000000001 55.6, -4.9 55.6, -4.9 55.5))"
19127.0,0.0370054261352536,"POLYGON ((-4.9 55.6, -4.800000000000001 55.6, -4.800000000000001 55.7, -4.9 55.7, -4.9 55.6))"
8069.0,0.015610516847376523,"POLYGON ((-4.9 55.7, -4.800000000000001 55.7, -4.800000000000001 55.800000000000004, -4.9 55.800000000000004, -4.9 55.7))"
15923.0,0.030805753812348662,"POLYGON ((-4.9 55.8, -4.800000000000001 55.8, -4.800000000000001 55.9, -4.9 55.9, -4.9 55.8))"
10588.0,0.020485007331124832,"POLYGON ((-4.9 55.9, -4.800000000000001 55.9, -4.800000000000001 56, -4.9 56, -4.9 55.9))"
5633.0,0.010897182900395186,"POLYGON ((-4.9 56, -4.800000000000001 56, -4.800000000000001 56.1, -4.9 56.1, -4.9 56))"
186.0,0.0003607516243932633,"POLYGON ((-4.9 56.1, -4.800000000000001 56.1, -4.800000000000001 56.2, -4.9 56.2, -4.9 56.1))"
82.0,0.00015814285633175865,"POLYGON ((-4.8 55.3, -4.7 55.3, -4.7 55.4, -4.8 55.4, -4.8 55.3))"
7528.0,0.014563763655698402,"POLYGON ((-4.8 55.4, -4.7 55.4, -4.7 55.5, -4.8 55.5, -4.8 55.4))"
17100.0,0.03308349832968975,"POLYGON ((-4.8 55.5, -4.7 55.5, -4.7 55.6, -4.8 55.6, -4.8 55.5))"
8684.0,0.016801031831114543,"POLYGON ((-4.8 55.6, -4.7 55.6, -4.7 55.7, -4.8 55.7, -4.8 55.6))"
16.0,3.1921137807691624e-05,"POLYGON ((-4.8 55.7, -4.7 55.7, -4.7 55.800000000000004, -4.8 55.800000000000004, -4.8 55.7))"
0.0,7.249674215053706e-07,"POLYGON ((-4.8 55.9, -4.7 55.9, -4.7 56, -4.8 56, -4.8 55.9))"
1865.0,0.003608742211134566,"POLYGON ((-4.8 56, -4.7 56, -4.7 56.1, -4.8 56.1, -4.8 56))"
132.0,0.00025549216957756316,"POLYGON ((-4.7 55.4, -4.6000000000000005 55.4, -4.6000000000000005 55.5, -4.7 55.5, -4.7 55.4))"
2207.0,0.004269939261753686,"POLYGON ((-4.7 55.5, -4.6000000000000005 55.5, -4.6000000000000005 55.6, -4.7 55.6, -4.7 55.5))"
864.0,0.0016722859088471728,"POLYGON ((-4.7 55.6, -4.6000000000000005 55.6, -4.6000000000000005 55.7, -4.7 55.7, -4.7 55.6))"
80.0,0.00015456638621306462,"POLYGON ((-4.7 55.9, -4.6000000000000005 55.9, -4.6000000000000005 56, -4.7 56, -4.7 55.9))"
