"station";"zone";"site";"Longitude";"Latitude";"x";"y";"rec_id";"date_in";"date_out"
"C26";"Cap de Creus";"Cap Norfeu";3,26753;42,24275;522071,7979;4676763,693;136744;"30/07/2020";"13/09/2021"
"C26";"Cap de Creus";"Cap Norfeu";3,26753;42,24275;522071,7979;4676763,693;112364;"13/09/2021";"27/04/2022"
"C26";"Cap de Creus";"Cap Norfeu";3,26753;42,24275;522071,7979;4676763,693;136607;"27/04/2022";""
"C27";"Cap de Creus";"Cap Norfeu";3,26597;42,23898;521944,4008;4676344,694;136758;"30/07/2020";"13/09/2021"
"C27";"Cap de Creus";"Cap Norfeu";3,26597;42,23898;521944,4008;4676344,694;108861;"13/09/2021";"27/04/2022"
"C27";"Cap de Creus";"Cap Norfeu";3,26597;42,23898;521944,4008;4676344,694;136595;"27/04/2022";""
"C28";"Cap de Creus";"El Gat";3,2625;42,23657;521658,9252;4676076,215;100614;"28/07/2020";"13/09/2021"
"C28";"Cap de Creus";"El Gat";3,2625;42,23657;521658,9252;4676076,215;125460;"13/09/2021";"27/04/2022"
"C28";"Cap de Creus";"El Gat";3,2625;42,23657;521658,9252;4676076,215;136598;"27/04/2022";""
"C29";"Cap de Creus";"El Gat";3,25963;42,23768;521421,7454;4676198,737;136607;"28/07/2020";"13/09/2021"
"C29";"Cap de Creus";"El Gat";3,25963;42,23768;521421,7454;4676198,737;108862;"13/09/2021";"27/04/2022"
"C29";"Cap de Creus";"El Gat";3,25963;42,23768;521421,7454;4676198,737;130679;"27/04/2022";""
"C30";"Cap de Creus";"El Gat";3,25668;42,23837;521178,1137;4676274,613;136605;"28/07/2020";"13/09/2021"
"C30";"Cap de Creus";"El Gat";3,25668;42,23837;521178,1137;4676274,613;110274;"13/09/2021";"27/04/2022"
"C30";"Cap de Creus";"El Gat";3,25668;42,23837;521178,1137;4676274,613;136738;"27/04/2022";""
"C31";"Cap de Creus";"Punta Falconera";3,22786;42,23495;518801,2515;4675888,12;136596;"28/07/2020";"13/09/2021"
"C31";"Cap de Creus";"Punta Falconera";3,22786;42,23495;518801,2515;4675888,12;125480;"13/09/2021";""
"C32";"Cap de Creus";"Punta Falconera";3,21922;42,23195;518089,2015;4675553,15;136603;"28/07/2020";"13/09/2021"
"C32";"Cap de Creus";"Punta Falconera";3,21922;42,23195;518089,2015;4675553,15;105297;"13/09/2021";""
"G01";"Badia de Roses";"Badia de Roses";3,13972;42,24412;511526,9469;4676890,616;136771;"05/08/2020";"01/09/2021"
"G01";"Badia de Roses";"Badia de Roses";3,13972;42,24412;511526,9469;4676890,616;136759;"01/09/2021";"09/03/2022"
"G01";"Badia de Roses";"Badia de Roses";3,13972;42,24412;511526,9469;4676890,616;108863;"09/03/2022";""
"G02";"Badia de Roses";"Badia de Roses";3,13269;42,23412;510948,698;4675779,354;136743;"05/08/2020";"01/09/2021"
"G02";"Badia de Roses";"Badia de Roses";3,13269;42,23412;510948,698;4675779,354;136748;"01/09/2021";"09/03/2022"
"G02";"Badia de Roses";"Badia de Roses";3,13269;42,23412;510948,698;4675779,354;105302;"09/03/2022";""
"G03";"Badia de Roses";"Badia de Roses";3,12848;42,22671;510602,5567;4674956,065;136763;"05/08/2020";"01/09/2021"
"G03";"Badia de Roses";"Badia de Roses";3,12848;42,22671;510602,5567;4674956,065;136765;"01/09/2021";"09/03/2022"
"G03";"Badia de Roses";"Badia de Roses";3,12848;42,22671;510602,5567;4674956,065;125463;"09/03/2022";""
"G04";"Badia de Roses";"Badia de Roses";3,12547;42,22186;510354,9549;4674417,183;136761;"05/08/2020";"01/09/2021"
"G04";"Badia de Roses";"Badia de Roses";3,12547;42,22186;510354,9549;4674417,183;128603;"01/09/2021";""
"G05";"Badia de Roses";"Badia de Roses";3,12336;42,20916;510182,8579;4673006,809;136766;"05/08/2020";"01/09/2021"
"G05";"Badia de Roses";"Badia de Roses";3,12336;42,20916;510182,8579;4673006,809;136753;"01/09/2021";"09/03/2022"
"G05";"Badia de Roses";"Badia de Roses";3,12336;42,20916;510182,8579;4673006,809;136602;"09/03/2022";""
"G06";"Badia de Roses";"Badia de Roses";3,12217;42,19976;510086,1234;4671962,959;136742;"05/08/2020";"27/08/2021"
"G06";"Badia de Roses";"Badia de Roses";3,12217;42,19976;510086,1234;4671962,959;136770;"27/08/2021";"09/03/2022"
"G06";"Badia de Roses";"Badia de Roses";3,12217;42,19976;510086,1234;4671962,959;136757;"09/03/2022";""
"G07";"Badia de Roses";"Badia de Roses";3,12283;42,19035;510142,1162;4670918,22;136751;"05/08/2020";"27/08/2021"
"G07";"Badia de Roses";"Badia de Roses";3,12283;42,19035;510142,1162;4670918,22;108865;"27/08/2021";"09/03/2022"
"G07";"Badia de Roses";"Badia de Roses";3,12283;42,19035;510142,1162;4670918,22;136754;"09/03/2022";""
"G08";"Badia de Roses";"Badia de Roses";3,12336;42,18315;510187,0343;4670118,849;136746;"05/08/2020";"27/08/2021"
"G08";"Badia de Roses";"Badia de Roses";3,12336;42,18315;510187,0343;4670118,849;125488;"27/08/2021";"09/03/2022"
