Included in VUE,Tag model,Serial No. ,ID Code,Detecciones,VUE Tag ID,Tag life (days),Species,Length,Zone,Capture Lat,Latitude,Longitude,Capture Long,Location name,Capture date,Recapture date,Hour ini,Hour end,Release Lat,Release Long,Fishing type,External tag colour,External tag ID,Observation,PROBLEMS
Si,V9,1356011,40730,,A69-1602-40730,503,Sphyraena viridensis,63,Medes,"4,204,158",,,"322,604",Carall,20200904,,20:24,20:31,"4,204,158","322,604",Canya,Vermell,70,Iscle i Miguel Angel,
si,V9,1356012,40731,,A69-1602-40731,503,Sparus aurata,40,Badia de roses,"4,216,244",,,"311,939",,20200824,,20:51,21:38,"4,291,233","317,767",Nansa,,,Bon estat,
,V9,1356013,40732,,A69-1602-40732,503,Sphyraena viridensis,55,Cap de Creus,"4,232,038",,,"332,679",Cap de Creus,20210916,,23:00,23:25,"4,232,075","332,284",palangre,,,,
,V9,1356014,40733,,A69-1602-40733,503,,,,,,,,,,,,,,,,,,,
,V9,1356015,40734,,A69-1602-40734,503,,,,,,,,,,,,,,,,,,,
Si,V9,1356016,40735,,A69-1602-40735,503,Palinurus elephas,8,Medes,"4,205,006",,,"322,410",Pedra de Deu,20210420,,13:00,13:10,"4,205,006","322,410",Immersió ,,,,
Si,V9,1356017,40736,,A69-1602-40736,503,Sphyraena viridensis,67,Medes,"4,204,337",,,"322,311",Portitxol,20200904,,20:48,21:00,"4,204,337","322,311",Canya,Vermell,69,Iscle i Miguel Angel,
Si,V9,1356018,40737,,A69-1602-40737,503,Sphyraena viridensis,75,Badia de roses,,,,,El Cranc,20200914,,22:30,,,,palangre,Vermell,68,miquel,
Si,V9,1356019,40738,,A69-1602-40738,503,Sparus aurata,25,Badia de roses,"4,213,428",,,"312,749",,20200826,,12:13,12:47,"4,213,428","312,749",Palangre,,,Bon estat,
,V9,1356020,40739,,A69-1602-40739,503,,,,,,,,,,,,,,,,,,,
,V9P,1356021,16249,,A69-9007-16249,323,,,,,,,,,,,,,,,,,,,
,V9P,1356022,16250,,A69-9007-16250,323,,,,,,,,,,,,,,,,,,,
,V9P,1356023,16251,,A69-9007-16251,323,,,,,,,,,,,,,,,,,,,
Si,V9P,1356024,16252,,A69-9007-16252,323,Spondyliosoma cantharus,33,Medes,"4,204,386",,,"322,334",Cementiri,20200903,,19:58,20:09,"4,204,386","322,334",Canya,Vermell,75,Iscle i Miguel Angel,
